Population,Replicate,Treatment,Species,Group,Tray,Position,Elevation,Latitude,Longitude,germ_date,transplant date,first_flower,flowering_time,hgt_first_flower,flowers_10days,time pollen collection,# flowers for pollen,successful_self,total_self,viable_pollen,total_pollen,Notes
NOL,7,H,guttatus,high,16,2,2981,37.228528,-118.636716,,,,,,,,,,,,,
NOL,8,H,guttatus,high,13,2,2981,37.228528,-118.636716,,,2-Aug,,306.5,1,,,,,,,
NOL,9,H,guttatus,high,11,11,2981,37.228528,-118.636716,,,,,,,,,,,,,
NOR,1,C,minor,tilingii,5,2,3352,39.0246,-107.0685,14-Jun,16-Jun,20-Jul,36,64.2,6,,,,,,,Elevation estimated
NOR,2,C,minor,tilingii,8,8,3352,39.0246,-107.0685,14-Jun,16-Jun,21-Jul,37,86.2,5,,1,5,5,73,76,Elevation estimated
NOR,3,C,minor,tilingii,6,2,3352,39.0246,-107.0685,14-Jun,16-Jun,17-Jul,33,67.5,5,,2,5,5,96,100,Elevation estimated
NOR,4,C,minor,tilingii,3,10,3352,39.0246,-107.0685,14-Jun,3-Jul,23-Jul,39,96.2,7,,2,5,5,97,100,Elevation estimated
NOR,5,C,minor,tilingii,6,15,3352,39.0246,-107.0685,14-Jun,16-Jun,26-Jul,42,70.8,6,,2,5,5,97,100,Elevation estimated
NOR,6,C,minor,tilingii,1,15,3352,39.0246,-107.0685,14-Jun,16-Jun,3-Aug,50,112,4,,1,,,95,100,Elevation estimated
NOR,7,C,minor,tilingii,5,4,3352,39.0246,-107.0685,14-Jun,16-Jun,25-Jul,41,80.4,6,,2,,,,,Elevation estimated
NOR,8,C,minor,tilingii,8,14,3352,39.0246,-107.0685,14-Jun,16-Jun,27-Jul,43,101.1,1,,,,,,,Elevation estimated
NOR,9,C,minor,tilingii,5,17,3352,39.0246,-107.0685,14-Jun,16-Jun,18-Jul,34,64.7,10,,2,5,5,93,100,Elevation estimated
NOR,1,H,minor,tilingii,14,15,3352,39.0246,-107.0685,14-Jun,16-Jun,18-Jul,34,65.1,2,,,,,,,Elevation estimated
NOR,2,H,minor,tilingii,16,7,3352,39.0246,-107.0685,14-Jun,16-Jun,18-Jul,34,43.1,1,,,,,,,Elevation estimated
NOR,3,H,minor,tilingii,16,13,3352,39.0246,-107.0685,14-Jun,16-Jun,17-Jul,33,95.2,4,,,,,,,Elevation estimated
NOR,4,H,minor,tilingii,12,11,3352,39.0246,-107.0685,14-Jun,16-Jun,17-Jul,33,76.4,5,,,,,,,Elevation estimated
NOR,5,H,minor,tilingii,13,4,3352,39.0246,-107.0685,14-Jun,16-Jun,25-Jul,41,79.3,3,,,,,,,Elevation estimated
NOR,6,H,minor,tilingii,9,8,3352,39.0246,-107.0685,14-Jun,16-Jun,19-Jul,35,73.1,5,,,2,3,,,Elevation estimated
NOR,7,H,minor,tilingii,13,12,3352,39.0246,-107.0685,14-Jun,16-Jun,20-Jul,36,155.3,6,,,0,5,,,Elevation estimated
NOR,8,H,minor,tilingii,12,12,3352,39.0246,-107.0685,14-Jun,16-Jun,19-Jul,35,78.9,4,,,,,,,Elevation estimated
NOR,9,H,minor,tilingii,11,13,3352,39.0246,-107.0685,14-Jun,16-Jun,,,,,,,,,,,Elevation estimated
OBJ,1,C,minor,tilingii,8,15,2739,38.912505,-107.032161,14-Jun,16-Jun,21-Jul,37,145.7,23,,2,5,5,98,100,
OBJ,2,C,minor,tilingii,7,2,2739,38.912505,-107.032161,14-Jun,16-Jun,13-Jul,29,97.9,19,,2,5,5,90,100,
OBJ,3,C,minor,tilingii,8,5,2739,38.912505,-107.032161,14-Jun,16-Jun,24-Jul,40,188.9,22,,2,5,5,97,100,
